c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
-1.799315338134765625e+02,8.317873382568359375e+01,2.957163238525390625e+01,4.610461425781250000e+01,3.208193778991699219e+00,4.482084751129150391e+00,-7.218650817871093750e+00,-2.946620559692382812e+01,7.740236282348632812e+00,-1.159668636322021484e+01,-1.891585922241210938e+01,1.769285774230957031e+01,5.259885311126708984e+00
-1.999197235107421875e+02,1.139355773925781250e+02,1.398449707031250000e+01,5.507093811035156250e+01,5.730397224426269531e+00,-1.103186845779418945e+00,-6.884422302246093750e+00,-3.184630393981933594e+01,-3.599782943725585938e+00,-8.736721038818359375e+00,-1.119822883605957031e+01,1.719184684753417969e+01,2.692272663116455078e+00
-2.376928558349609375e+02,1.208116607666015625e+02,2.241086959838867188e+01,5.456127929687500000e+01,5.814727783203125000e+00,-1.730918884277343750e+00,-6.028199195861816406e+00,-2.437139892578125000e+01,-6.654361724853515625e+00,-1.172594261169433594e+01,-1.002163887023925781e+01,1.314191627502441406e+01,-2.308457136154174805e+00
-2.729014282226562500e+02,1.321433410644531250e+02,3.866756439208984375e+01,5.053897476196289062e+01,1.927097439765930176e+00,-2.462369918823242188e+00,-1.735377907752990723e+00,-1.989094543457031250e+01,-6.914058685302734375e+00,-1.422480106353759766e+01,-8.745330810546875000e+00,1.083097457885742188e+01,-1.995985031127929688e+00
-2.518064880371093750e+02,1.447073364257812500e+02,2.882630538940429688e+01,5.280270767211914062e+01,-1.154342555999755859e+01,-1.088444709777832031e+01,-2.863798379898071289e+00,-1.798105239868164062e+01,3.924295902252197266e+00,-1.052275753021240234e+01,-1.024380302429199219e+01,1.209148597717285156e+01,-5.857425689697265625e+00
-2.384107360839843750e+02,1.481209411621093750e+02,2.186207962036132812e+01,4.998497009277343750e+01,-1.683518791198730469e+01,-6.880898952484130859e+00,2.366484403610229492e+00,-2.007987976074218750e+01,9.488151550292968750e+00,-5.684745788574218750e+00,-7.357820987701416016e+00,1.027802944183349609e+01,-5.889319419860839844e+00
-2.418366394042968750e+02,1.560824584960937500e+02,2.460635375976562500e+01,4.988156890869140625e+01,-2.007509040832519531e+01,-6.327308416366577148e-01,3.499398231506347656e+00,-2.161369132995605469e+01,4.684310913085937500e+00,-8.125329017639160156e+00,-2.967010259628295898e+00,9.085276603698730469e+00,-2.018623352050781250e+00
-2.652306823730468750e+02,1.517843322753906250e+02,2.689130210876464844e+01,5.548773193359375000e+01,-1.986876106262207031e+01,-8.410039544105529785e-02,8.160974502563476562e+00,-1.467910861968994141e+01,-4.525872230529785156e+00,-8.916172027587890625e+00,-2.931283950805664062e+00,9.525316238403320312e+00,4.312665462493896484e-01
-2.604913024902343750e+02,1.434904479980468750e+02,2.395808219909667969e+01,5.533860397338867188e+01,-2.650777244567871094e+01,6.040823459625244141e+00,1.304003715515136719e+01,-2.592940902709960938e+01,-9.957444190979003906e+00,-1.462100028991699219e+01,-1.394573497772216797e+01,1.967053604125976562e+01,2.599724531173706055e-01
-2.705007629394531250e+02,1.471330413818359375e+02,3.045034217834472656e+01,5.217736816406250000e+01,-3.049961090087890625e+01,2.554186582565307617e+00,1.542115402221679688e+01,-2.948762893676757812e+01,-7.553939819335937500e+00,-1.484381866455078125e+01,-1.992340850830078125e+01,1.890959930419921875e+01,-3.198523044586181641e+00
-2.968997497558593750e+02,1.482397003173828125e+02,4.396529769897460938e+01,5.353110504150390625e+01,-3.230831146240234375e+01,-1.345588684082031250e+00,1.321613883972167969e+01,-2.274993324279785156e+01,-6.479532241821289062e+00,-1.689726257324218750e+01,-1.735983276367187500e+01,1.512985992431640625e+01,-6.409676551818847656e+00
-2.599360046386718750e+02,1.500041198730468750e+02,2.998762512207031250e+01,5.029551696777343750e+01,-4.218579483032226562e+01,9.821601867675781250e+00,1.856362724304199219e+01,-3.120591163635253906e+01,-9.769369125366210938e+00,-3.025358963012695312e+01,-1.205938625335693359e+01,2.751024246215820312e+01,-8.992862105369567871e-01
-2.259135284423828125e+02,1.395727691650390625e+02,1.053046035766601562e+01,5.703548812866210938e+01,-3.501249313354492188e+01,8.148824691772460938e+00,1.010932731628417969e+01,-3.916964721679687500e+01,-1.080813217163085938e+01,-4.351818084716796875e+01,-7.384570837020874023e-01,3.342106246948242188e+01,-8.947443962097167969e-01
